epoch,training_loss,training_acc,test_loss,test_acc
1,1178.9409,0.73,45305.336,0.7311
1,1055.1025,0.7,45577.285,0.7292
1,788.4775,0.765,46534.074,0.7225
1,931.73816,0.745,46444.53,0.726
1,904.2346,0.76,45545.516,0.7302
1,1130.5217,0.705,44660.598,0.7266
1,984.83887,0.71,44915.574,0.7304
1,766.9739,0.76,45953.53,0.7098
1,854.42664,0.71,47165.605,0.7285
1,828.54755,0.72,45488.344,0.7276
1,871.61475,0.72,45171.402,0.7246
1,951.20886,0.715,44554.145,0.7234
1,954.0398,0.71,44224.027,0.7314
1,820.79114,0.78,43927.445,0.7309
1,952.0619,0.725,44528.664,0.7233
1,682.4689,0.745,44190.535,0.7192
1,525.2558,0.79,43867.29,0.7291
1,727.5089,0.79,44739.023,0.7174
1,708.74054,0.74,43632.49,0.7296
1,858.76227,0.755,44033.85,0.7309
1,773.85754,0.755,44444.96,0.715
1,607.83527,0.765,43738.86,0.7183
1,966.34216,0.705,46473.72,0.6997
1,878.7185,0.7,43816.49,0.7233
1,676.34344,0.735,43422.18,0.723
1,896.87933,0.71,43785.93,0.7285
1,601.78076,0.765,43619.633,0.716
1,842.0426,0.705,43833.086,0.7213
1,899.7273,0.76,44845.453,0.7055
1,671.5979,0.73,44643.984,0.7211
1,737.36975,0.74,45444.62,0.6959
1,894.61523,0.755,43740.094,0.7228
1,695.3656,0.74,43304.465,0.7244
1,857.1658,0.745,43981.17,0.7271
1,852.9852,0.725,44380.02,0.7188
1,912.4336,0.72,44753.0,0.7245
1,968.2333,0.705,43987.227,0.726
1,620.157,0.775,43800.58,0.7222
1,822.79346,0.76,44065.574,0.7247
1,826.68665,0.745,43781.395,0.7286
1,641.1758,0.775,42927.785,0.7306
1,618.73395,0.775,44293.652,0.7221
1,909.84515,0.78,43989.6,0.7264
1,756.0127,0.77,43990.355,0.724
1,745.7172,0.775,42983.508,0.7204
1,655.78455,0.77,43015.17,0.7314
1,938.27795,0.71,44012.98,0.7225
1,722.2705,0.75,44849.58,0.7041
1,876.33777,0.76,43568.11,0.7276
1,759.6025,0.77,43103.863,0.7328
1,830.5737,0.755,43233.805,0.7215
1,860.838,0.71,43220.117,0.7333
1,836.58923,0.73,43123.66,0.7191
1,797.33984,0.72,43369.09,0.7303
1,985.2142,0.7,46862.03,0.6839
1,639.7634,0.765,43913.242,0.713
1,846.8844,0.725,43957.723,0.7265
1,991.72504,0.72,43270.08,0.731
1,789.85406,0.71,42559.39,0.7279
1,650.90625,0.76,42881.184,0.7256
1,822.64386,0.74,42414.43,0.7336
1,614.18726,0.8,42292.72,0.7322
1,837.0216,0.72,42161.945,0.7326
1,762.23145,0.735,42345.92,0.7288
1,875.34143,0.72,42694.086,0.7248
1,641.7866,0.73,44241.29,0.7034
1,916.4258,0.675,43254.914,0.7298
1,1000.3625,0.71,42538.117,0.7239
1,748.7848,0.75,42025.656,0.7277
1,899.74585,0.715,42229.934,0.7185
1,886.90204,0.705,42907.375,0.723
1,956.5142,0.7,43548.18,0.7106
1,787.1775,0.68,45177.277,0.7282
1,815.4379,0.725,42857.035,0.7286
1,714.62683,0.765,41894.543,0.7294
1,946.48956,0.68,41837.96,0.7255
1,709.3572,0.755,42342.91,0.725
1,674.7108,0.76,43258.26,0.7201
1,808.3464,0.715,42451.047,0.7227
1,776.28394,0.745,42358.785,0.7224
1,493.82593,0.82,41727.77,0.7271
1,789.1255,0.75,41799.66,0.7219
1,873.41595,0.735,41624.164,0.7227
1,758.37476,0.76,42364.215,0.7281
1,731.3738,0.75,42467.617,0.7285
1,764.5123,0.755,42152.293,0.7283
1,890.8756,0.72,41731.64,0.7161
1,665.4756,0.725,41121.79,0.7246
1,741.08374,0.795,40648.586,0.7275
1,470.07578,0.77,40589.9,0.7288
1,638.0222,0.775,40914.38,0.7268
1,1070.3071,0.685,42281.883,0.7097
1,843.2676,0.695,42566.76,0.7016
1,874.9158,0.71,42418.37,0.7199
1,717.1407,0.775,41761.11,0.7278
1,748.13916,0.725,40612.09,0.727
1,759.9592,0.76,41405.957,0.7177
1,890.0868,0.695,41630.875,0.7192
1,869.83704,0.715,41981.914,0.7303
1,724.80365,0.76,40856.496,0.7146
1,840.3297,0.7,42341.723,0.7145
2,646.1869,0.76,42229.47,0.7194
2,968.68787,0.69,40626.113,0.7172
2,618.2145,0.735,40247.836,0.7219
2,496.01318,0.79,40513.85,0.7216
2,910.68317,0.74,41185.96,0.7074
2,802.11804,0.72,40585.367,0.7264
2,843.57947,0.72,40708.742,0.7118
2,643.3884,0.765,40450.46,0.7188
2,683.15,0.765,40570.01,0.7074
2,793.5298,0.7,40484.09,0.7244
2,473.1255,0.76,40556.195,0.7142
2,690.879,0.72,41527.793,0.7168
2,1003.47614,0.7,42553.074,0.713
2,938.6245,0.715,42456.168,0.6976
2,890.3655,0.685,40463.426,0.7256
2,747.60846,0.77,39947.156,0.7282
2,953.03296,0.71,40517.37,0.7147
2,781.7957,0.745,40462.617,0.7153
2,547.5419,0.75,42138.914,0.7172
2,992.3787,0.715,41446.094,0.7167
2,611.87726,0.795,41114.27,0.6984
2,503.6752,0.71,42298.473,0.7177
2,591.3865,0.75,41122.344,0.7163
2,571.8141,0.79,40256.277,0.7161
2,559.10693,0.74,41331.67,0.7129
2,974.82434,0.66,41791.453,0.7098
2,991.1808,0.695,41306.79,0.7123
