epoch,training_loss,training_acc,test_loss,test_acc
1,460.5086,0.11,23025.855,0.1
1,460.51645,0.085,23025.854,0.1
1,460.5354,0.075,23025.855,0.1
1,460.52368,0.13,23025.855,0.1
1,460.5166,0.105,23025.855,0.1
1,460.5244,0.075,23025.855,0.1
1,460.5304,0.1,23025.855,0.1
1,460.5193,0.09,23025.854,0.1
1,460.50354,0.095,23025.857,0.1
1,460.54388,0.09,23025.857,0.1
1,460.51965,0.115,23025.857,0.1
1,460.52124,0.095,23025.855,0.1
1,460.53125,0.08,23025.854,0.1
1,460.53394,0.085,23025.855,0.1
1,460.52216,0.11,23025.854,0.1
1,460.53247,0.06,23025.854,0.1
1,460.51428,0.125,23025.855,0.1
1,460.53687,0.075,23025.854,0.1
1,460.5182,0.1,23025.852,0.1
1,460.51556,0.11,23025.854,0.1
1,460.51822,0.115,23025.854,0.1
1,460.5182,0.125,23025.854,0.1
1,460.51727,0.105,23025.854,0.1
1,460.50604,0.14,23025.854,0.1
1,460.5273,0.09,23025.854,0.1
1,460.52216,0.105,23025.852,0.1
1,460.51416,0.08,23025.855,0.1
1,460.49536,0.105,23025.854,0.1
1,460.5227,0.1,23025.854,0.1
1,460.52994,0.1,23025.852,0.1
1,460.5172,0.08,23025.854,0.1
1,460.50357,0.125,23025.855,0.1
1,460.51245,0.105,23025.854,0.1
1,460.52716,0.085,23025.854,0.1
1,460.52307,0.075,23025.854,0.1
1,460.51978,0.11,23025.854,0.1
1,460.5201,0.08,23025.855,0.1
1,460.51007,0.12,23025.855,0.1
1,460.51227,0.1,23025.852,0.1
1,460.53375,0.075,23025.855,0.1
1,460.5395,0.08,23025.855,0.1
1,460.51834,0.08,23025.852,0.1
1,460.5006,0.105,23025.854,0.1
1,460.51224,0.08,23025.854,0.1
1,460.52527,0.095,23025.854,0.1
1,460.50372,0.095,23025.857,0.1
1,460.53424,0.05,23025.854,0.1
1,460.51202,0.105,23025.855,0.1
1,460.50696,0.1,23025.854,0.1
1,460.53845,0.09,23025.854,0.1
1,460.53107,0.085,23025.854,0.1
1,460.52814,0.05,23025.854,0.1
1,460.51825,0.085,23025.854,0.1
1,460.5284,0.06,23025.854,0.1
1,460.53455,0.11,23025.855,0.1
1,460.5041,0.135,23025.854,0.1
1,460.5175,0.12,23025.854,0.1
1,460.5293,0.065,23025.854,0.1
1,460.52557,0.09,23025.854,0.1
1,460.52386,0.095,23025.854,0.1
1,460.50644,0.115,23025.855,0.1
1,460.52155,0.105,23025.852,0.1
1,460.52826,0.1,23025.854,0.1
1,460.52716,0.105,23025.854,0.1
1,460.52576,0.095,23025.854,0.1
1,460.50836,0.125,23025.854,0.1
1,460.5221,0.105,23025.854,0.1
1,460.51367,0.1,23025.852,0.1
1,460.51532,0.115,23025.854,0.1
1,460.5086,0.105,23025.854,0.1
1,460.5223,0.1,23025.855,0.1
1,460.5267,0.075,23025.854,0.1
1,460.52893,0.08,23025.854,0.1
1,460.51395,0.095,23025.855,0.1
1,460.5254,0.095,23025.854,0.1
1,460.53293,0.1,23025.848,0.1
1,460.51672,0.09,23025.852,0.1
1,460.52567,0.085,23025.852,0.1
1,460.5191,0.095,23025.85,0.1
1,460.51825,0.075,23025.854,0.1
1,460.51175,0.09,23025.852,0.1
1,460.50543,0.135,23025.855,0.1
1,460.5298,0.085,23025.854,0.1
1,460.52368,0.075,23025.852,0.1
1,460.51913,0.1,23025.854,0.1
1,460.5132,0.085,23025.852,0.1
1,460.51575,0.1,23025.852,0.1
1,460.5094,0.115,23025.855,0.1
1,460.51752,0.1,23025.854,0.1
1,460.52588,0.085,23025.854,0.1
1,460.51862,0.11,23025.854,0.1
1,460.52673,0.095,23025.852,0.1
1,460.49945,0.1,23025.852,0.1
1,460.4993,0.14,23025.854,0.1
1,460.5215,0.095,23025.854,0.1
1,460.5191,0.125,23025.854,0.1
1,460.54608,0.06,23025.852,0.1
1,460.53204,0.08,23025.854,0.1
1,460.5327,0.1,23025.854,0.1
1,460.5282,0.095,23025.852,0.1
1,460.51874,0.08,23025.854,0.1
1,460.50458,0.15,23025.854,0.1
1,460.52792,0.07,23025.852,0.1
1,460.5205,0.085,23025.85,0.1
1,460.52045,0.135,23025.85,0.1
1,460.50458,0.14,23025.85,0.1
1,460.52374,0.095,23025.852,0.1
1,460.52084,0.08,23025.854,0.1
1,460.52448,0.08,23025.854,0.1
1,460.51874,0.115,23025.852,0.1
1,460.52576,0.09,23025.852,0.1
1,460.5097,0.11,23025.852,0.1
1,460.5243,0.095,23025.852,0.1
1,460.515,0.115,23025.852,0.1
1,460.51904,0.12,23025.85,0.1
1,460.52905,0.085,23025.854,0.1
1,460.52353,0.055,23025.852,0.1
1,460.52704,0.09,23025.852,0.1
1,460.51892,0.085,23025.852,0.1
1,460.5232,0.08,23025.85,0.1
1,460.51648,0.095,23025.852,0.1
1,460.51776,0.095,23025.852,0.1
1,460.52032,0.08,23025.852,0.1
1,460.5177,0.08,23025.852,0.1
1,460.51645,0.06,23025.854,0.1
1,460.528,0.095,23025.852,0.1
1,460.52118,0.085,23025.848,0.1
1,460.5158,0.13,23025.852,0.1
1,460.523,0.065,23025.852,0.1
1,460.52435,0.07,23025.854,0.1
1,460.51746,0.08,23025.852,0.1
1,460.52267,0.075,23025.852,0.1
1,460.52435,0.075,23025.852,0.1
1,460.5197,0.12,23025.848,0.1
1,460.52194,0.07,23025.85,0.1
1,460.51724,0.11,23025.852,0.1
1,460.51675,0.115,23025.852,0.1
1,460.51935,0.09,23025.852,0.1
1,460.51886,0.095,23025.852,0.1
2,460.51782,0.12,23025.852,0.1
2,460.51904,0.095,23025.85,0.1
2,460.51874,0.095,23025.85,0.1
2,460.51672,0.1,23025.85,0.1
2,460.5163,0.125,23025.852,0.1
2,460.52075,0.08,23025.854,0.1
2,460.5208,0.075,23025.852,0.1
2,460.51678,0.095,23025.85,0.1
2,460.5189,0.085,23025.85,0.1
2,460.51508,0.11,23025.852,0.1
2,460.51718,0.12,23025.854,0.1
2,460.51425,0.135,23025.852,0.1
2,460.51855,0.075,23025.854,0.1
2,460.5179,0.125,23025.852,0.1
2,460.52615,0.07,23025.85,0.1
2,460.51202,0.12,23025.85,0.1
2,460.51614,0.125,23025.852,0.1
2,460.51822,0.11,23025.852,0.1
2,460.5182,0.095,23025.854,0.1
2,460.51117,0.145,23025.852,0.1
2,460.50995,0.135,23025.855,0.1
2,460.51505,0.12,23025.855,0.1
2,460.52194,0.065,23025.854,0.1
2,460.50995,0.145,23025.852,0.1
2,460.5124,0.115,23025.854,0.1
2,460.51715,0.095,23025.854,0.1
2,460.52704,0.065,23025.852,0.1
2,460.52203,0.09,23025.852,0.1
2,460.5251,0.085,23025.854,0.1
2,460.51425,0.1,23025.852,0.1
2,460.50214,0.155,23025.854,0.1
2,460.5161,0.105,23025.85,0.1
2,460.52396,0.08,23025.854,0.1
2,460.52448,0.095,23025.852,0.1
2,460.50494,0.12,23025.854,0.1
2,460.51038,0.13,23025.855,0.1
2,460.53882,0.055,23025.852,0.1
2,460.50424,0.13,23025.854,0.1
2,460.52716,0.08,23025.855,0.1
2,460.50525,0.135,23025.854,0.1
2,460.52997,0.06,23025.852,0.1
2,460.52115,0.05,23025.854,0.1
2,460.51285,0.11,23025.852,0.1
2,460.52335,0.08,23025.852,0.1
2,460.52734,0.085,23025.854,0.1
2,460.51715,0.105,23025.852,0.1
2,460.52344,0.095,23025.852,0.1
2,460.52118,0.07,23025.852,0.1
2,460.51547,0.08,23025.852,0.1
2,460.52225,0.065,23025.85,0.1
2,460.5061,0.105,23025.852,0.1
2,460.52164,0.1,23025.854,0.1
2,460.5149,0.12,23025.854,0.1
2,460.5134,0.07,23025.855,0.1
2,460.52448,0.1,23025.852,0.1
2,460.5135,0.06,23025.854,0.1
2,460.50995,0.11,23025.854,0.1
2,460.5235,0.095,23025.852,0.1
2,460.52072,0.105,23025.854,0.1
2,460.50967,0.12,23025.854,0.1
2,460.51654,0.145,23025.852,0.1
2,460.5279,0.08,23025.854,0.1
2,460.52515,0.105,23025.852,0.1
2,460.51434,0.11,23025.855,0.1
2,460.51752,0.1,23025.855,0.1
2,460.50806,0.115,23025.854,0.1
2,460.53156,0.07,23025.855,0.1
2,460.51648,0.09,23025.854,0.1
2,460.5066,0.085,23025.854,0.1
2,460.51843,0.075,23025.855,0.1
2,460.5022,0.125,23025.854,0.1
2,460.53522,0.085,23025.855,0.1
2,460.51172,0.115,23025.854,0.1
2,460.54285,0.07,23025.854,0.1
2,460.5275,0.08,23025.852,0.1
2,460.5318,0.095,23025.854,0.1
2,460.5108,0.11,23025.854,0.1
2,460.5163,0.08,23025.852,0.1
2,460.51483,0.11,23025.852,0.1
2,460.51874,0.09,23025.854,0.1
2,460.51666,0.075,23025.854,0.1
2,460.5125,0.095,23025.854,0.1
2,460.51385,0.07,23025.854,0.1
2,460.51056,0.09,23025.854,0.1
2,460.53064,0.095,23025.852,0.1
2,460.52356,0.125,23025.854,0.1
2,460.5316,0.09,23025.854,0.1
2,460.52902,0.065,23025.854,0.1
2,460.52002,0.1,23025.852,0.1
2,460.5133,0.11,23025.854,0.1
2,460.51462,0.14,23025.852,0.1
2,460.52783,0.075,23025.852,0.1
2,460.51926,0.095,23025.854,0.1
2,460.51282,0.08,23025.854,0.1
